ID,Name in the language,Name in English,Alternate names,Countries,Country codes,Description of the location(s),Latitude,Longitude,Degree of endangerment,Number of speakers,Date/accuracy of estimate,Sources
02060,,Harakmbut,"Amarakaeri, Harakmbet",Peru,PE,"Madre de Dios, provincia de Tambopata; ríos Tambopata, Alto Madre de Dios, Colorado; aldea de Shintuya",-12.9403,-70.2685,definitely endangered,1206,Censo de población del Perú de 1993. La cifra corresponde a 6 grupos harakmbut censados por separado.,www.inei.gob.pe
02319,,Harsusi,"harsuusi, harsiyyet______",Oman,OM,"Located on a gravel plain called the Jiddat al-Harasiis in the area of the town of Hayma in central Oman, northeast of Dhofar. Spoken by the Harasis and the ’Ifar",19.9372,56.2637,definitely endangered,3000,"1996 (D. Chatty); presently 3500-4000 (D. Chatty, 2008, p.c.)","D. Chatty, Mobile Pastoralists: Development Planning and Social Change in Oman, 1996. D. Chatty in C. Dyer, The Education of Nomadic Peoples, 2006.Johnstone’s sources (Harsusi Lexicon1977), Stroomer (Harsusi Texts from Oman based on the Field Materials of T.M. Johnstone 2004), Simeone-Senelle (The Modern South Arabian Languages1997, and in press),"
01345,,Havasupai,,United States of America,US,"The village of Supai in Havasu Canyon, at the western end of the Grand Canyon.",36.2429,-112.6897,definitely endangered,500,,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun, and Mauricio Mixco. 2007. North America. Atlas of the World’s Languages (2nd. edition), ed. by R.E. Asher and C.J. Moseley, 7-44. London: Routledge."
02756,,Hawaiian,,United States of America,US,Hawaiian Islands,21.9226,-160.1147,critically endangered,1000,2000,Grimes 2000
02155,,Hawrami,"Hewrami, Howrami, Hawramani, Awromani, Gurani, Gorani",Iran (Islamic Republic of); Iraq,IR;IQ,"Western part of Kordestan province, Iran, also spoken in Iran.",35.4259,46.2551,definitely endangered,23000,2000 census,
00605,,Hayu,"____; ____; Vayu, Wayu; Wayo",Nepal,NP,Sindhul_ and K_bhrep_lañcok districts,27.2912,86.0696,critically endangered,200,1973 (the 2001 census puts the number at 1743 speakers),"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.Driem, George van. 2007. ’South Asia and the Middle East’, pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge."
02708,,Heiban,,Sudan,SD,"Heiban, Abul (Obul), and nearby hills. In Heiban town on the Abri-Talodi road. Alternate names: Ebang, Abul.",10.8575,30.2371,vulnerable,90000,"No census. Number of speakers may be between 80 000 and 100 000/Estimates based on Editor’s visit in 1999 andUN assessment missionsVaccination campaigns","Editor’s field visitPopulation statistics of International assessments and humanitarian missions"
02806,,Heiltsuk,,Canada,CA,Spread over 2 communities in Canada,52.1591,-128.1546,critically endangered,105,"2001 Census – based; average age: 62,7","1996 and 2001 Censuses, Statistics Canada; based on the Department of Canadian Heritage customized census retrievalsUNESCO Atlas 2nd edition (Wurm (2001))Ethnologue: Languages of the World (Gordon, (2005))http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/index_en.htmlhttp://en.wikipedia.org/wiki/Portal:Contents"
03089,,Helong,,Indonesia,ID,Timor,-10.1905,123.5247,severely endangered,9000,1996,"Wurm, Stephen A. 2007. ’Australia and the Pacific’, pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge."
02491,,Hermit,,Papua New Guinea,PG,Manus,-2.0869,146.9311,critically endangered,20,2000,Grimes 2000
02354,,Hértevin,,Turkey,TR,originally the village of Hertevin and neighbouring villages near the town of Pervari in Siirt Province; most or all speakers have emigrated from Turkey,37.9268,42.5473,critically endangered,1000,1999 H. Mutzafi for the Ethnologue; most or all speakers in diaspora; possibly extinct in Turkey,"Otto Jastrow: Der neuaramaische Dialekt von Hertevin (Provinz Siirt). Wiesbaden: Harrassowitz, 1988."
01163,,Hidatsa,Gros Ventre,United States of America,US,"Hidatsa, at Mandaree, is one of the Three Affiliated Tribes, sharing Fort Berthold Reservation in North Dakota with Mandan and the Arikara.",47.7321,-102.6758,definitely endangered,200,"About 200 speakers, the youngest in their late 20s; no childeren are first-language speakers.","Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun, and Mauricio Mixco. 2007. North America. Atlas of the World’s Languages (2nd. edition), ed. by R.E. Asher and C.J. Moseley, 7-44. London: Routledge."
01605,,Higher Reservoir Mazatec,enna,Mexico,MX,Municipalities of San José Tenango and San José Indepandencia in the state of Oaxaca,18.1580,-96.7045,vulnerable,20665,Census 2000,Census 2000 and information provided by INALI
01281,,Highland Chontal,Tsame,Mexico,MX,"Localities of Magdalena Tequisistlan,Santa María Ecatepec,Asunción Tlacolulita,San Carlos Yautepec,San Miguel Tenango,Santa María Quiegolani,Santo Domingo Tehuantepec in thestate of Oaxaca",16.2832,-95.8570,severely endangered,2197,Census 2000,"INALI Catalogue, Census 2000, Information provided by INALI, Information provided by Loretta O’Connor"
01609,,Highland Mazatec,"enna, Mazateco de la sierra",Mexico,MX,"Municipalities of Huautla de Jiménez and Huautepec, state of Oaxaca",18.1307,-96.8436,vulnerable,33859,Census 2000,Census 2000 and information provided by INALI
01759,,Hijuk,,Cameroon,CM,,4.2861,10.4919,critically endangered,400,1992,Ethnologue
01413,,Hill Miri,"Miri, Mising, Mishing",India,IN,"Lower Subansiri Dt, concentrated in and around the town of Raga",27.7078,94.0374,definitely endangered,12000,"estimate, fieldwork, India Census 2001",
01364,,Hinukh,Ginukh,Russian Federation,RU,"the village of Ginukh in Tsunta County, and by an immigrant community in the village of Monastyrskoye in Kizlyar County, in the Republic of Daghestan",42.1801,45.9770,definitely endangered,548,2002 census,"_. _. _______: _________ ____. — _____ __________ _________ _ ________ __________: ____________ I. ______: _____, 1997."
02999,,Hiw,Hiu,Vanuatu,VU,"Hiw Island, Torres Islands",-13.1343,166.5671,definitely endangered,150,"2008, Alexandre François","Alexandre François 2008http://alex.francois.free.fr/AF-terrain.htm"
02019,,Hixkaryána,,Brazil,BR,,-0.5493,-58.5131,vulnerable,600,"2006 pop=631, Funasa/ISA, almost all speak the language","Databank Moore, 2008."
02924,,Hlersu,"Shansu, Sansu",China,CN,,24.3789,102.0460,vulnerable,15000,2000,Bradley 2007
01558,,Hmar,,India,IN,"Assam, North Cachar and Cachar districts; Manipur, Churachandpur Dt.; Mizoram, Aizawl, Cachar, North Cachar districts; Tripura.",24.5770,93.3178,vulnerable,50000,"estimate, Ethnologue for 1997",
01538,,Ho,Kol,India,IN,"Jharkhand, Singhbhum Dt.; Orissa, Mayurbhanj and Koenjhar districts; West Bengal.",21.6370,86.4404,vulnerable,400000,van Driem 2007c; India Census 2001 gives approx. 1 million,
02420,,Hoanya,,China,CN,Taiwan Province,23.5665,120.3826,extinct,0,,
03142,,Hoava,,Solomon Islands,SB,"North Marovo lagoon, New Georgia",-8.1883,157.6036,vulnerable,600,1981,"Wurm, Stephen A. 2007. ’Australia and the Pacific’, pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge."
02174,,Hobyot,"Howbyot, hubiyya, hubiyyet",Oman; Yemen,OM;YE,"The language is lspoken by Hobyot people and some members of ’Mahra’ tribes . It is located in the far-east of Mahra in Yemen, and in the far-west of Dhofar in Oman, in a very narrow and short strip on the border, from the coast into the mountain . In Yemen, from the villages of Hawf and Rehen (but no Hobyot native speakers in Jadib) , on about 12 km into the mountain overlooking Hawf (and far below Haberut). On th eslopes of the mountains, they rear camels, cows and goats, and cultivate some vegetables and millet, they collect honey. On the coast they are fishermen, some are civil servants.",16.6388,53.0612,severely endangered,400,"No official data. The data is based on information given by the native speakers in 2007, in Yemen. It is also deducted from the number of villages and of their inhabitants.When they include the Hobyot people settled in Oman, they claim to be m","Hobyot is closely related to Mehri but it is neither a Mehri dialector Jibbali one. Depending to the place of the village the Hobyot are in contact with Mehri (Mehriyyot variety) or Jibbali nativ espeakers, these contacts have an effect upon this speech (essentially on lexicon).Simeone-Senelle 1997, 2007, in press.Johnstone 1987"
00442,,Hodi,Jodi. Hoti. Yuwana.,Venezuela (Bolivarian Republic of),VE,Border of the states of Amazonas and Bolívar (Venezuela).,6.0750,-65.6323,vulnerable,600,,"Mosonyi and Mosonyi (2000), ’Manual de lenguas indígenas de Venezuela’."
00216,,Holikachuk,,United States of America,US,,64.2254,-155.3027,critically endangered,5,2000,Krauss 2007.
00093,,Homa,,Sudan,SD,,5.5011,27.3779,extinct,0,1975,Ethnologue
02869,,Homshetsma (Caucasus),Homshetsi,Georgia; Russian Federation,GE;RU,Abkhazia and adjacent regions in Georgia and the Russian Federation: émigré communities from north-eastern Turkey; an outlying dialect of (Western) Armenian not listed separately by the SIL,43.2452,40.3582,severely endangered,,not available,Bert Vaux: Hemshinli: The forgotten Black Sea Armenians http://www.uwm.edu/~vaux/hamshen.pdf
02868,,Homshetsma (Turkey),Homshetsi,Turkey,TR,"north-eastern Turkey; earlier also adjacent Georgia, from where deported to Central Asia; an outlying dialect of (Western) Armenian not listed separately by the SIL",41.4680,41.5580,definitely endangered,,not available,Bert Vaux: Hemshinli: The forgotten Black Sea Armenians http://www.uwm.edu/~vaux/hamshen.pdf
01140,,Hopi,,United States of America,US,"Spoken in the villages of First Mesa, Second Mesa, and Third Mesa.",35.8721,-110.6205,vulnerable,5000,,Golla et al. ms.
02002,,Horo,,Chad,TD,,9.2390,18.3444,extinct,0,?,Ethnologue
03099,,Hoti,,Indonesia,ID,"East Seram Island, Maluku",-3.0143,130.3692,critically endangered,10,1987,"Wurm, Stephen A. 2007. ’Australia and the Pacific’, pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge."
00111,,Hozo,Begi-Mao,Ethiopia,ET,,9.3352,34.5300,definitely endangered,3000,1995,Ethnologue
02602,,Hpun,Hpon,Myanmar,MM,,24.6500,97.0666,extinct,0,2008,
01514,,Hrangkhol,,India,IN,"Tripura, mostly in Dhalai Dt.",24.1467,92.3071,vulnerable,19000,Ethnologue figure for 2000 (WCD),"see van Driem, Languages of the Himalayas, 2001, p. 589"
02594,,Hu,"Kon Keu, Kongge",China,CN,"Na Hoy Pha village; also in Man Pa Yuk, Man Pa Lau, Man Pong Thang, Na Pang",22.1743,100.9264,definitely endangered,1000,2006,"1996 fieldwork by Frank Proschan, Weera Ostapirat, Wang Qingliu"
01344,,Hualapai,Walapai,United States of America,US,Hualapai Indian Reservation in Peach Springs,35.5279,-113.4297,vulnerable,1000,,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun, and Mauricio Mixco. 2007. North America. Atlas of the World’s Languages (2nd. edition), ed. by R.E. Asher and C.J. Moseley, 7-44. London: Routledge."
01851,,Huasteca Náhuatl,Mexicano,Mexico,MX,"Locality of Xilitla and others in the municipality of Tamazunchale, municipalities of Cuatlamayán, Coxcatlán, and others in the state of San Luis Potosí; municipalities of Platón Sánchez, Chicontepec, Álamo, Ixhuatlán de Madero in the state of Veracruz; municipality of Francisco Z. Mena in the state of Puebla; municipalities of Tepehuacán de Guerrero, Huautla, Yahualica, Xoxiatipan, Tianguistengo, Zacualtipan and Metzquititlán in the state of Hidalgo",21.3835,-98.9902,vulnerable,463183,Census 2000,"Census 2000, information provided by INALI for percentages of child speakers; Lastra (1986)"
01224,,Huehuetla Tepehua,,Mexico,MX,"Huehuetla, state of Hidalgo; Pantepec, state of Puebla",20.4600,-98.0761,definitely endangered,1603,Census 2005,Contributors: Carolyn MacKay and Frank Treschel; their sources: Census 2005 and INALI information
01604,,Huehuetlán Mazatec,an ndexu,Mexico,MX,"Municipality of San Francisco Huehuetlán, state of Oaxaca",18.1964,-96.9471,vulnerable,1169,Census 2000,Census 2000 and information provided by INALI
01841,,Huichol,wixarika,Mexico,MX,"Locality of San Andrés Cohamiata in the municipality of Mizquitic and 4 other municipalities in the stat of Jalisco; municipalities of El Nayar, La Yesca, Rosamorada, San Blas, and Santiago Ixcuintla in the state of Nayarit; municipality of Mezquital in the state of Durango",22.6500,-103.5833,vulnerable,35724,Census 2005,"Contributor Zarina Estrada, 2005 Census"
00782,,Huilliche,Beliche. Veliche. Tsesugun.,Chile,CL,"Southern Chile, San Juan de la Costa (Osorno) and shores and islands of Lake Ranco (Valdivia). Some communities in the area of Quellón, in the southern part of the island of Chiloé, .",-40.4803,-73.5424,critically endangered,2000,"The figure of 2000 is an estimate. There are no reliable counts of Huilliche speakers, which are spread out over a considerable area.",
02170,,Huitoto (Brazil),"Witoto, Oitoto",Brazil,BR,,-2.3723,-66.0937,extinct,0,"2008 pop= 42, Funasa/ISA, not clear that any speakers exist in Brazil","Databank Moore, 2008."
00783,,"Huitoto (Colombia, Peru)","Uitoto, Witoto. Murui, Mïnïca and Muinane are subgroups.",Colombia; Peru,CO;PE,"Depto. de Loreto, Prov. de Mariscal Castilla, aldea de Pucaurquillo en la cuenca del río Ampiyaco. También en el río Putumayo y Nanay.Colombia: Putumayo (rivers Caquetá, Putumayo, Cará-Paraná and Igará-Paraná.",-3.0308,-71.8066,definitely endangered,10000,,"Pozzi-Escot (2000), ’El multilingüismo en el Perú’Arango and Ochoa (2004), ’Los pueblos indígenas de Colombia’"
03100,,Hukumina,Bambaa,Indonesia,ID,"Buru Island, Maluku",-3.1514,126.2713,extinct,0,2000,"Wurm, Stephen A. 2007. ’Australia and the Pacific’, pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge."
02589,,Hulaula (Iran),"Lishana Noshan, Lishana Axni, Jabali, Galligallokh, Hula Hula, Judeo-Aramaic, Jewish Northeastern Neo-Aramaic",Iran (Islamic Republic of),IR,Iranian Kurdistan and bordering Iraqi towns,35.9068,46.1535,extinct,,,
02554,,Hulaula (Israel),"Lishana Noshan, Lishana Axni, Jabali, Galligallokh, Hula Hula, Judeo-Aramaic, Jewish Northeastern Neo-Aramaic",Israel,IL,All over the country. Population originally immigrated from Iranian Kurdistan and bordering Iraqi towns.,32.2128,34.9118,severely endangered,10000,1999 estimate (H. Mutzafi),H. Mutzafi (1999 and personal communication)
03101,,Hulung,,Indonesia,ID,"West Seram Island, Maluku",-2.8614,128.5606,critically endangered,10,1991,"Wurm, Stephen A. 2007. ’Australia and the Pacific’, pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge."
00701,,Hung,,Lao People’s Democratic Republic; Viet Nam,LA;VN,,18.9062,105.0500,definitely endangered,1000,2007 est,
01359,,Hunzib,Gunzib,Russian Federation,RU,"the villages of Gunzib, Nakhada, and Garbutl’ (Gorbutl’) in Tsunta County in the Republic of Daghestan",42.1654,46.2991,definitely endangered,1839,"2002 census; possibly inflated, cf. ______ 1997 estimate of 800 speakers","_. _. ______: __________ ____. — _____ __________ _________ _ ________ __________: ____________ I. ______: _____, 1997."
01015,,Hupa,,United States of America,US,Hoopa Valley Reservation in northwest California,41.7624,-123.7028,critically endangered,12,fewer than 12 speakers,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun, and Mauricio Mixco. 2007. North America. Atlas of the World’s Languages (2nd. edition), ed. by R.E. Asher and C.J. Moseley, 7-44. London: Routledge."
02124,,Hupda (Brazil),"Hupda, Hupdë (Hup is singular)",Brazil,BR,,0.7909,-68.2470,vulnerable,1900,"All speak the language, according to linguist Pattie Epps.","Databank Moore, 2008."
02371,,Hupda (Colombia),Hup,Colombia,CO,,0.3845,-70.1367,definitely endangered,1500,,"Epps (2005), ’A Grammar of Hup’"
02864,,Huron-Wyandot (Canada),Wyandot,Canada,CA,,46.8722,-71.3651,critically endangered,,,"1996 and 2001 Censuses, Statistics Canada; based on the Department of Canadian Heritage customized census retrievalsUNESCO Atlas 2nd edition (Wurm (2001))Ethnologue: Languages of the World (Gordon, (2005))http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/index_en.htmlhttp://en.wikipedia.org/wiki/Portal:Contents"
01882,,Huron-Wyandot (United States of America),"Wendat, Huron-Wyandotte",United States of America,US,"Huron and Wyandotte is the same language. The last speakers were in the Wyandotte Tribe of Oklahoma, and Huron settled at Lorette, near Quebec City.",36.7923,-94.7229,extinct,0,The last native speaker in Oklahoma died around 1960.,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun, and Mauricio Mixco. 2007. North America. Atlas of the World’s Languages (2nd. edition), ed. by R.E. Asher and C.J. Moseley, 7-44. London: Routledge."
01766,,Huzhu Monguor,Mongghul; Mongghuor,China,CN,"Huzhu Tu Autonomous County and adjacent parts of Datong Hui and Tu Autonomous County, Qinghai, and adjacent parts of Tianzhu Tibetan Autonomous County, Gansu",36.7608,102.4255,severely endangered,50000,2003 Georg low estimate,"Stefan Georg: Mongghul. — The Mongolic languages. Edited by Juha Janhunen. London and New York: Routledge, 2003. 286–306."
01739,,Hya,,Cameroon; Nigeria,CM;NG,,10.3311,13.5269,severely endangered,940,2002,Ethnologue
03102,,Ibu,,Indonesia,ID,"North Halmahera Island, Maluku",1.5269,127.5265,critically endangered,10,1987,"Wurm, Stephen A. 2007. ’Australia and the Pacific’, pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge."
01407,,Idu,"Mishmi, Chulikata Mishmi",China; India,CN;IN,Upper and Lower Dibang districts,28.6496,95.8419,definitely endangered,11101,"India 2001, China 2000",Bradley 2007
02104,,Iduh (Lao PDR),,Lao People’s Democratic Republic,LA,,19.3292,103.3758,critically endangered,50,,
00702,,Iduh (Viet Nam),,Viet Nam,VN,,19.4162,104.4870,critically endangered,5,,
03151,,Ifo,,Vanuatu,VU,Northeastern Erromanga Island,-18.6605,169.1434,extinct,0,2000,"Wurm, Stephen A. 2007. ’Australia and the Pacific’, pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge."
00143,,Ik,Teuso,Uganda,UG,,3.5024,34.1894,severely endangered,2000,1986,"Bernd Heine, Christa König"
01565,,Ikpeng,"Txicão, Txikão",Brazil,BR,"The group lives in indigenous Park of the Xingu, left bank of the Upper Xingu in the Uaví River mouth area, to the north of the Kayabí settlements - Mato Grosso - Brazil",-11.7376,-53.6160,vulnerable,342,"Pop 342, Census FUNASA 2006 (ISA site)","www.socioambiental.orgMoore, 2008, IBGE databank Moore, 2008, Scientific American (Brasil) "
01777,,Ili Turk,,China,CN,"Ili Valley near Kuldja, Xinjiang; an outlying dialect of Uzbek",44.0244,81.1450,severely endangered,120,1980 R. F. Hahn for the Ethnologue,Zhào Xi_ngrú and Reinhard F. Hahn: The Ili Turk people and their language. Central Asiatic Journal 33 (1989): 260–289.
00058,,Ilue,Idua,Nigeria,NG,,4.9185,8.2397,critically endangered,5000,1988,"Roger Blench, Ethnologue"
01627,,Imeraguen,imraguen,Mauritania,MR,"The language is used in the region near Nouakchout, the area stretching from Cape Timiris to Nouadhibou The language is a combination of a variety of Hassaniyya with an Azer (Soninke) base. The language is mainly associated with the Oulad Bou Sba who are reported to be remnants of the Bafours.",18.9166,-15.9960,definitely endangered,534,No available census. The only existing figures are provided by Ethnologue (2000).,The information is based on published references and the Ethnologue site. There is still a need for fieldwork research in the area and in the mauritanian society at large for the verification of the information..
00968,,Iñapari,"Mashco, mashco-piro",Peru,PE,"Depto. de Madre de Dios, cuenca del río Piedras.",-12.0822,-69.7412,critically endangered,600,"Cifra aproximada máxima, frente a mínima de 4 persnas ""avistadas"" efectivamente..","Huertas Castillo, Beatriz. 2002. Los pueblos indígenas en aislamiento. Su lucha por la sobrevivencia y la libertad. Lima. IWGIA"
00520,anarâ_kielâ,Inari Saami,,Finland,FI,central Inari County of Lapland Province,68.8446,27.2817,severely endangered,400,estimate based on local census and reports from colleagues,
02054,,Indri,"Yanderika, YandirikaClose to Feroge.",Sudan,SD,"Southern Sudan, southwest, in a small area around Raga",8.4397,25.5926,severely endangered,700,?,Ethnologue
01122,,Ineseño,,United States of America,US,,34.5942,-120.1371,extinct,0,,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun, and Mauricio Mixco. 2007. North America. Atlas of the World’s Languages (2nd. edition), ed. by R.E. Asher and C.J. Moseley, 7-44. London: Routledge."
02208,,Inga,"Inga, Ingano",Colombia,CO,"Sibundoy Valley in and around Santiago, San Andrés and Colón; Aponte (Department of Nariño)",1.1658,-77.0011,severely endangered,8000,Arango & Sánchez. 2004. Total population 19079,Arango & Sánchez. Los pueblos indígenas de Colombia en el umbral del nuevo milenio. 2004.
00218,,Ingalik,"Deg Xinag, Deg Hit’an",United States of America,US,,62.1655,-156.3134,critically endangered,14,2000,Krauss 2007
00521,,Ingrian,,Russian Federation,RU,"three small areas on the southern shore of the Gulf of Finland in St. Petersburg (Leningrad) Province in the Russian Federation: the cape of Kovashi (Hevaa) in Lomonosov County, the cape of Soykin (Soikkola) in Kingisepp County, and the cape of Kurkola in the lower Luga River area in the same county; a fourth area was formerly found along the Oredezh River in Gatchina County",59.7397,28.7017,severely endangered,200,estimate based on the 2002 census and related data,"Eberhard Winkler: Ingrisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Milo_ Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 665–666."
01384,,Ingush,,Russian Federation,RU,the Republic of Ingushetia and adjecent regions,43.1450,45.1043,vulnerable,405343,2002 census,
01365,,Inkhokvari,,Russian Federation,RU,"the villages of Kvantlyada, Santlyada, Inkhokari (Inkhokvari), and Khvayni in Tsumada County in the Republic of Daghestan",42.3981,46.0299,definitely endangered,1000,estimate based on the 2002 census and related data,
02807,,Inuinnaqtun,"Kangiryuarmiutun, Western Canadian Inuktitut",Canada,CA,Spread over 5 communities in Canada,67.8443,-115.2742,definitely endangered,890,"2001 Census – based; average age: 42,1","1996 and 2001 Censuses, Statistics Canada; based on the Department of Canadian Heritage customized census retrievalsUNESCO Atlas 2nd edition (Wurm (2001))Ethnologue: Languages of the World (Gordon, (2005))http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/index_en.htmlhttp://en.wikipedia.org/wiki/Portal:Contents"
01109,,Ipai,Northern Diegueño,United States of America,US,"Four communities in northwestern San Diego County, including Mesa Grande, Santa Ysabel, San Pasqual, and Barona.",32.9359,-116.8680,critically endangered,6,,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun, and Mauricio Mixco. 2007. North America. Atlas of the World’s Languages (2nd. edition), ed. by R.E. Asher and C.J. Moseley, 7-44. London: Routledge."
00941,,Iquito,,Peru,PE,"Departamento de Loreto, Provincia de Maynas, distrito de Alto Nanay, aldea de San Antonio de Pintoyaco",-3.6449,-74.1577,critically endangered,25,"Información directa de estudioso de la lengua, da",
02224,,Iranxe,"Irantxe, Manoki",Brazil,BR,,-12.6939,-57.8430,critically endangered,10,"356 pop., FUNASA-2006 from ISA site (Povos Indígenas). Number of speakers is unknown, but they are no more than 10 (speakers and semi-speakers) Geovani Paresi, pc, claims 8 full speakers.",www.socioambiental.org
03043,,Iresim,,Indonesia,ID,Irian Jaya,-3.6011,135.1428,severely endangered,70,2000 Wurm,"Wurm, Stephen A. 2007. ’Australia and the Pacific’, pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge."
00523,,Irish,Irish Gaelic,Ireland; United Kingdom of Great Britain and Northern Ireland,IE;GB,"four principal areas in the west, two in Donegal County, one each in Galway and Kerry counties, plus eight small pockets, also in Mayo, Cork, and Waterford counties; formerly also in Northern Ireland",53.7876,-9.1845,definitely endangered,44000,"2007 Department of Community, Rural and Gaeltacht affairs of Ireland: number of people living in primarily Irish-speaking areas; extinct as a first language in Northern Ireland; widely studied as a second language","Gearóid Mac Eoin: Irish. — The Celtic languages. Edited by Martin J. Ball with James Fife. London and New York: Routledge, 1993. 101–144."
01915,,Irula,Eravallan; Erukala; Irava; Irulan; Irular; Irular Mozhi; Irulavan; Iruliga; Iruligar; Kad Chensu; Korava,India,IN,"Tamil Nadu, Kerala, Karnataka and Andhra Pradesh",11.4369,76.5032,vulnerable,200000,"2003 in Ethnologue",
02626,,Isarog Agta,,Philippines,PH,,13.6805,123.3805,critically endangered,5,2000,
01782,,Ishkashimi,"Ryni, I_ka_mi, ____",Tajikistan,TJ,"Ryn village, Ishkashim district, Gorno-Badakhshan Autonomous Region, Tajikistan.",36.6915,71.7668,severely endangered,1000,"Approximate estimate, 2006","Elnazarov, A (2006) ’Multilingualism in Pamir: Challenges of Preservation and Revitalisation’ in Proceedings of the FEL X Conference ’Vital Voices: Endangered Languages and Multilingualism. Mysore, India.Studies in Languages of Tajikistan, (2005), ed. John M. Clifton"
03044,,Isirawa,"Saberi, Okwasar",Indonesia,ID,Irian Jaya,-1.8783,138.5485,vulnerable,1800,2000 Wurm,"Wurm, Stephen A. 2007. ’Australia and the Pacific’, pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge."
00443,,Island Carib,,Dominica,DM,Carib Indian reservation on the eastern coast of Dominica.,15.4325,-61.2817,extinct,0,,
01125,,Island Chumash,Cruzeño,United States of America,US,,34.3821,-119.4574,extinct,0,,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun, and Mauricio Mixco. 2007. North America. Atlas of the World’s Languages (2nd. edition), ed. by R.E. Asher and C.J. Moseley, 7-44. London: Routledge."
01850,,Isthmus Náhuatl,,Mexico,MX,"Municipalities of Mecayapan, Pajapan, and others in the state of Veracruz",18.2209,-94.8382,vulnerable,26632,Census 2000,"Census 2000, information provided by INALI for percentages of child speakers; Lastra (1986)"
00524,,Istriot,,Croatia,HR,"the towns of Rovinj (Rovigno), Vodnjan (Dignano), Bale (Valle), Fa_ana (Fasana), Gali_ana (Gallesano) and _i_an (Sissano) in the southwest of the Istrian peninsula",45.0541,13.7246,severely endangered,400,"Jahn in FEL II (1998: 48) estimates that there are 400 first-language and 400 second-language speakers in Istria, plus 500 others living outside Istria","Goran Filipi: Istriotisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Milo_ Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 87–89."
00525,,Istro-Romanian,Istrio-Romanian,Croatia,HR,"the village of _ejane to the north of U_ka mountain and a few villages, notably Su_njevica, to the south of it in Kr_an municipality, in the northeast of the Istrian peninsula",45.3907,14.4360,severely endangered,300,"Jahn in FEL II (1998: 48) gives an estimate of 300 first-language and 100 second-language speakers in Istria, plus 1,000 others living outside Istria","Goran Filipi: Istrorumänisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Milo_ Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 91–96."
00064,,Isu,Isuwu,Cameroon,CM,,4.0094,9.5745,severely endangered,800,1982,Ethnologue
00648,,Itelmen,,Russian Federation,RU,"a small pocket on the western coast of central Kamchatka, mainly in the villages of Kovran and Upper Khayryuzovo in the south of Tigil’ County in the southern corner of Koryak Autonomous District",57.1496,156.9012,critically endangered,100,1991 _______ estimate,"_. _. _______: ____________ ____. — _____ ____: ______________ _____. ______: ______, 1997. 60–71. | _. _. _____: ____________ ____ http://lingsib.unesco.ru/ru/languages/itelmen.shtml.htm"
02495,,Iteri,,Papua New Guinea,PG,Sandaun (West Sepik) Province,-4.0807,141.5039,severely endangered,90,2000,Grimes 2000
03045,,Itik,Betef,Indonesia,ID,Irian Jaya,-2.3181,139.1480,vulnerable,80,2000 Wurm,"Wurm, Stephen A. 2007. ’Australia and the Pacific’, pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World’s Endangered Languages. London/New York: Routledge."
